url,Views,Date_Uploaded,Likes,Dislikes
https://www.youtube.com/watch?v=5qap5aO4i9A,"21,299 watching now","Started streaming on Feb 22, 2020",2M,42K
https://www.youtube.com/watch?v=DWcJFNfaw9c,"11,068 watching now","Started streaming on Feb 25, 2020",416K,6.5K
https://www.youtube.com/watch?v=lTRiuFIWV54,"17,026,360 views","Premiered Dec 8, 2019",409K,3.3K
https://www.youtube.com/watch?v=jrTMMG0zJyI,"28,366,975 views","May 20, 2018",639K,7.5K
https://www.youtube.com/watch?v=toQbSRrMX9o,"3,022,687 views","Jul 31, 2020",174K,2.2K
https://www.youtube.com/watch?v=xJsMA_ED2KM,"4,206,576 views","Jul 29, 2020",200K,2.9K
https://www.youtube.com/watch?v=YQDDm9HLkV4,"24,660,575 views","Jul 23, 2020",1.6M,16K
https://www.youtube.com/watch?v=fZDUxJ-7Y4A,"3,100,415 views","Jul 30, 2020",83K,2.3K
https://www.youtube.com/watch?v=F4Y3Pkn95GI,"48,279,115 views","Feb 29, 2020",1.4M,30K
https://www.youtube.com/watch?v=nZ1rTugGIkw,"11,818,679 views","Jul 25, 2020",428K,10K
https://www.youtube.com/watch?v=gDMf5g8EU5g,"5,339,699 views","Jul 22, 2020",236K,3.6K
https://www.youtube.com/watch?v=gl1aHhXnN1k,"535,096,075 views","Premiered Nov 30, 2018",10M,476K
https://www.youtube.com/watch?v=ffxKSjUwKdU,"923,723,836 views","Apr 19, 2018",6.5M,308K
https://www.youtube.com/watch?v=AoAm4om0wTs,"165,990,402 views","Premiered May 22, 2020",4.1M,224K
https://www.youtube.com/watch?v=1ekZEVeXwek,"788,256,608 views","May 23, 2016",4.1M,162K
https://www.youtube.com/watch?v=pE49WK-oNjU,"88,831,970 views","Premiered May 7, 2020",3.4M,85K
https://www.youtube.com/watch?v=ejKvwawO0uA,"2,947,494 views","Jul 23, 2020",47K,1.5K
https://www.youtube.com/watch?v=rbqcix22u8U,"2,994,347 views","Feb 24, 2020",45K,3.7K
https://www.youtube.com/watch?v=8s9joL_AGfo,"10,334,457 views","Aug 14, 2018",215K,5.5K
https://www.youtube.com/watch?v=DUPo62ouU84,"5,547,583 views","Nov 19, 2019",112K,3.4K
https://www.youtube.com/watch?v=dmMoYNpjFvg,"368,580 views","Jul 30, 2020",18K,478
